brand,channel,as_of,n_variants,n_styles,pct_skus_on_sale,avg_discount_depth_all,avg_discount_depth_onsale,new_arrivals,new_arrivals_full_price_pct,sellouts_count,sellout_rate_pct,time_to_markdown_median_days,n_marked_down,n_still_full_price,outlet_share_pct
coach,full,2026-08-03,48,48,8.3,3.8,45.0,,,,,,0,44,0.0
kate_spade,full,2026-08-03,16,16,0.0,0.0,0.0,,,,,,0,16,0.0
michael_kors,full,2026-08-03,96,96,25.0,13.4,53.5,,,,,,0,72,0.0
