brand,channel,as_of,n_variants,n_styles,pct_skus_on_sale,avg_discount_depth_all,avg_discount_depth_onsale,new_arrivals,new_arrivals_full_price_pct,sellouts_count,sellout_rate_pct,time_to_markdown_median_days,n_marked_down,n_still_full_price,outlet_share_pct
coach,full,2026-07-06,16,16,6.2,1.9,30.0,,,,,,0,15,0.0
kate_spade,full,2026-07-06,16,16,0.0,0.0,0.0,,,,,,0,16,0.0
michael_kors,full,2026-07-06,96,96,8.3,4.1,48.9,,,,,,0,88,0.0
