brand,channel,as_of,n_variants,n_styles,pct_skus_on_sale,avg_discount_depth_all,avg_discount_depth_onsale,new_arrivals,new_arrivals_full_price_pct,sellouts_count,sellout_rate_pct,time_to_markdown_median_days,n_marked_down,n_still_full_price,outlet_share_pct
coach,full,2026-08-10,48,48,4.2,1.7,40.0,,,,,,0,46,0.0
kate_spade,full,2026-08-10,16,16,18.8,8.5,45.2,,,,,,0,13,0.0
michael_kors,full,2026-08-10,96,96,22.9,11.5,50.3,,,,,,0,74,0.0
